Pole Index,Coefficients,Status
224,"[array([-2.42918364e+01,  7.86444755e+04]), array([ 1.77187513e+01, -5.73642939e+04])]",Success
226,"[array([-2.39909538e+01,  7.99375211e+04]), array([ 1.74992840e+01, -5.83071684e+04])]",Success
227,"[array([-2.46104291e+01,  8.32121808e+04]), array([ 1.82299474e+01, -6.16657995e+04])]",Success
228,"[array([-2.36407398e+01,  8.09216511e+04]), array([ 1.74491175e+01, -5.97282893e+04])]",Success
230,"[array([-2.35813969e+01,  8.17202468e+04]), array([ 1.70005419e+01, -5.89158002e+04])]",Success
232,[],Success
233,[],Success
234,"[array([-2.37375281e+01,  8.29263747e+04]), array([ 1.70351673e+01, -5.95122682e+04])]",Success
235,"[array([-2.28213037e+01,  8.11296729e+04]), array([ 1.71159778e+01, -6.08473439e+04])]",Success
236,"[array([-2.31893892e+01,  8.27277347e+04]), array([ 1.69146133e+01, -6.03432475e+04])]",Success
237,"[array([-2.30792317e+01,  8.29697964e+04]), array([ 1.68342631e+01, -6.05189457e+04])]",Success
240,"[array([-2.27549502e+01,  8.42387410e+04]), array([ 1.65977284e+01, -6.14448170e+04])]",Success
241,"[array([-2.30720245e+01,  8.58963904e+04]), array([ 1.63650406e+01, -6.09265967e+04])]",Success
243,"[array([-2.20307529e+01,  8.46861705e+04]), array([ 1.63286757e+01, -6.27671741e+04])]",Success
244,"[array([-2.23860876e+01,  8.62309894e+04]), array([ 1.63286757e+01, -6.28982745e+04])]",Success
245,[],Success
246,[],Success
247,[],Success
248,"[array([-2.22268557e+01,  8.60621315e+04]), array([ 1.62125300e+01, -6.27748194e+04])]",Success
249,"[array([-2.21329784e+01,  8.63180161e+04]), array([ 1.61440548e+01, -6.29620409e+04])]",Success
253,"[array([-2.22927018e+01,  8.89473893e+04]), array([ 1.58122652e+01, -6.30906773e+04])]",Success
262,"[array([-2.20591809e+01,  9.31116517e+04]), array([ 1.52132282e+01, -6.42150184e+04])]",Success
263,[],Success
238,"[array([-2.29168988e+01,  8.38059611e+04]), array([ 1.67158556e+01, -6.11302947e+04])]",Success
239,"[array([-2.36240943e+01,  8.65817962e+04]), array([ 1.62924788e+01, -5.97116698e+04])]",Success
242,"[array([-2.24396552e+01,  8.52702798e+04]), array([ 1.65626027e+01, -6.29382831e+04])]",Success
251,"[array([-2.20326071e+01,  8.71166637e+04]), array([ 1.60708429e+01, -6.35442957e+04])]",Success
252,"[array([-2.19331421e+01,  8.71841282e+04]), array([ 1.58122652e+01, -6.28534536e+04])]",Success
255,"[array([-2.13918522e+01,  8.73636737e+04]), array([ 1.60438892e+01, -6.55234276e+04])]",Success
256,"[array([-2.12965703e+01,  8.73153864e+04]), array([ 1.57845168e+01, -6.47167515e+04])]",Success
257,"[array([-2.15928765e+01,  8.90045458e+04]), array([ 1.55669575e+01, -6.41678411e+04])]",Success
258,"[array([-2.22622401e+01,  9.20316056e+04]), array([ 1.5353269e+01, -6.3470159e+04])]",Success
259,"[array([-2.18006133e+01,  9.04501673e+04]), array([ 1.54632257e+01, -6.41574555e+04])]",Success
260,"[array([-2.25396171e+01,  9.37864429e+04]), array([ 1.52854875e+01, -6.36029720e+04])]",Success
261,"[array([-2.17507836e+01,  9.14171599e+04]), array([ 1.54278814e+01, -6.48444848e+04])]",Success
264,[],Success
265,[],Success
266,"[array([-2.11686251e+01,  9.03898444e+04]), array([ 1.52611018e+01, -6.51648361e+04])]",Success
267,"[array([-2.18742459e+01,  9.37954512e+04]), array([ 1.52611018e+01, -6.54405054e+04])]",Success
